,rut,nombre,Q (m3/s),flag
1929-01-01,10111001-K,RIO SAN PEDRO EN DESAGUE LAGO RINIHUE,201.0,     
1929-01-01,10113001-0,RIO SAN PEDRO EN MALIHUE,243.0,     
2018-01-11,10113003-7,RIO SAN PEDRO EN PUCONO,396.0,     
1987-02-01,10121001-4,RIO COLLILEUFU EN LOS LAGOS,6.56,     
1987-02-01,10122001-K,RIO CALLE CALLE EN BALSA SAN JAVIER,131.0,     
1928-12-07,10122002-8,RIO CALLE CALLE EN ANTILHUE,593.0,     
2007-03-08,10122003-6,RIO CALLE CALLE EN PUPUNAHUE,150.0,     
2012-08-30,10133000-1,RIO LEUFUCADE EN PURULON,26.3,     
1969-05-01,10134001-5,RIO CRUCES EN RUCACO,98.0,     
1929-01-24,10135001-0,RIO CRUCES EN PAICO,134.0,     
1928-02-20,10137001-1,RIO INAQUE EN MAFIL,3.31,*    
1926-07-05,10138001-7,RIO INAQUE EN PUTABLA,81.0,*    
1992-03-01,10140001-8,RIO SANTO DOMINGO EN RINCONADA DE PIEDRA,2.04,     
1968-07-01,10142001-9,RIO FUTA EN PUENTE CHIFLON,24.0,     
1926-07-08,10142002-7,RIO FUTA EN FUTA,90.1,*    
2002-05-23,10142003-5,RIO FUTA EN TRES CHIFLONES,306.0,*    
1986-07-01,10304001-9,RIO CALCURRUPE EN DESEMBOCADURA,342.0,     
1997-01-01,10305001-4,RIO CAUNAHUE CAMINO A LLIFEN,89.8,>    
1987-08-01,10306001-K,RIO NILAHUE EN MAYAY,45.5,     
1926-07-11,10311001-7,RIO BUENO EN BUENO,375.0,     
1928-03-06,10313001-8,RIO LLOLLELHUE EN LA UNION,15.1,     
2009-07-22,10322003-3,RIO GOL GOL EN PUENTE Nº 2,48.0,     
2001-07-30,10327001-4,RIO CHIRRE ANTES JUNTA RIO PILMAIQUEN,70.0,     
1929-03-23,10328001-K,RIO PILMAIQUEN EN SAN PABLO,59.1,     
1928-12-15,10330001-0,RIO BUENO EN TRUMAO,256.0,     
1986-02-01,10340001-5,RIO RAHUE EN DESAGUE LAGO RUPANCO,53.5,     
1987-08-01,10343001-1,RIO COIHUECO ANTES JUNTA PICHICOPE,48.5,     
2008-02-21,10343002-K,RIO COIHUECO ANTES JUNTA RIO RAHUE,6.24,     
1929-03-09,10344001-7,RIO RAHUE EN CANCURA,146.0,     
2008-05-01,10344003-3,RIO RAHUE ANTES JUNTA RIO NEGRO,69.3,     
2008-06-25,10344004-1,RIO RAHUE EN CHAN CHAN,143.0,     
2000-05-30,10351001-5,RIO TORO EN TEGUALDA,3.48,     
2015-01-19,10355003-3,RIO FORRAHUE EN RIO NEGRO,0.272,     
1986-03-01,10356001-2,RIO NEGRO EN CHAHUILCO,12.7,     
1926-07-13,10360001-4,RIO RAHUE EN OSORNO,313.0,     
1986-02-01,10362001-5,RIO DAMAS EN TACAMO,0.922,     
1991-12-04,10363002-9,RIO FORRAHUE EN AROMOS,0.752,     
1986-02-27,10364001-6,RIO RAHUE EN FORRAHUE,110.0,     
2000-06-09,10401001-6,RIO TRANALLAGUIN EN CARRICO,59.1,     
1988-10-01,10405001-8,RIO HUEYUSCA EN NAPECO,12.4,     
2001-08-30,10405002-6,RIO HUEYUSCA EN CAMARONES,32.7,     
2008-05-01,10405005-0,RIO LA PLATA ANTES JUNTA RIO HUEYUSCA,2.05,     
1976-07-02,10411001-0,CANAL DESAGUE AEROPUERTO TEPUAL,0.862,     
1989-04-25,10411002-9,RIO NEGRO EN LAS LOMAS,3.48,     
1929-03-12,10411003-7,RIO MAULLIN EN LLANQUIHUE (EFLUENTE),64.5,     
1995-08-24,10414001-7,RIO MAULLIN EN LAS QUEMAS,145.0,     
2002-10-17,10431000-1,RIO BLANCO ANTE JUNTA RIO CHAMIZA,4.6,     
2002-10-17,10431001-K,RIO LENCA BAJO BOCATOMA,8.77,     
2002-10-15,10432002-3,RIO CHAMIZA ANTE JUNTA RIO CHICO,161.0,*    
2003-03-14,10432003-1,RIO CHICO ANTE RIO CHAMIZA,4.18,     
2002-12-06,10440000-0,CAPTACION LENCA,1.96,     
1940-02-02,10454001-5,RIO PETROHUE EN DESAGUE LAGO TODOS LOS SANTOS,112.0,     
2001-05-27,10503001-0,RIO MANSO ANTES JUNTA RIO PUELO,587.0,     
2001-07-24,10514001-0,RIO PUELO ANTES JUNTA CON MANSO,282.0,     
2002-05-30,10520001-3,RIO PUELO EN DESAGUE LAGO TAGUA TAGUA,899.0,     
2003-03-02,10523002-8,RIO PUELO EN CARRERA BASILIO,194.0,     
2015-01-01,10683002-9,RIO BLANCO EN CHAITEN,7.81,*    
2001-07-13,10701002-5,RIO ESPOLON EN DESAGUE LAGO ESPOLON,52.5,     
1972-05-01,10702001-2,RIO FUTALEUFU EN FUTALEUFU,154.0,     
2001-07-13,10702002-0,RIO FUTALEUFU EN LA FRONTERA,366.0,     
2002-04-10,10704002-1,RIO FUTALEUFU ANTE JUNTA RIO MALITO,364.0,     
1990-02-01,10903001-5,RIO VILCUN EN BEL-BEN,2.73,     
1990-07-31,10904001-0,RIO GRANDE EN SAN PEDRO,71.4,*    
1959-02-01,11020001-3,ESTERO LOPEZ ANTES JUNTA RIO ENCUENTRO,3.94,     
1959-02-01,11020002-1,RIO ENCUENTRO ANTES JUNTA ESTERO LOPEZ,1.43,     
1959-01-22,11020003-K,RIO ENCUENTRO DESPUES DE CONFLUENCIA,1.22,     
2001-07-12,11020004-8,RIO TIGRE EN LA FRONTERA,21.3,     
2001-07-11,11020005-6,RIO PALENA EN LA FRONTERA,24.5,     
1999-06-13,11040001-2,RIO PALENA BAJO JUNTA ROSSELOT,1263.0,     
1991-09-21,11130001-1,RIO VENTISQUERO EN CARRETERA AUSTRAL,25.0,     
1984-12-12,11141001-1,RIO CISNES EN ESTANCIA RIO CISNES,11.7,     
1988-08-25,11143001-2,RIO CISNES ANTES JUNTA RIO MORO,43.4,     
1988-06-28,11143002-0,RIO MORO ANTES JUNTA RIO CISNES,22.3,     
2001-04-23,11147001-4,RIO CISNES EN PUERTO CISNES,110.0,     
1991-09-21,11147002-2,RIO GRANDE EN CARRETERA AUSTRAL,20.4,     
1985-02-23,11151001-6,RIO CUERVO EN DESEMBOCADURA,112.0,*    
1980-06-18,11302001-6,RIO ÑIREGUAO EN VILLA MAÑIGUALES,83.5,     
1980-06-18,11307001-3,RIO EMPERADOR GUILLERMO ANTES JUNTA MAÑIGUALES,37.5,     
1970-05-06,11308001-9,RIO MAGNIGUALES ANTES JUNTA RIO SIMPSON,116.0,     
1979-05-25,11310001-K,RIO HUEMULES FRENTE CERRO GALERA,6.92,     
1979-05-23,11310002-8,RIO OSCURO EN CAMINO CERRO PORTEZUELO,7.3,     
1979-05-23,11310003-6,RIO BLANCO CHICO ANTES JUNTA OSCURO,5.98,     
1979-11-06,11312001-0,RIO BLANCO ANTES JUNTA HUEMULES,30.4,*    
1979-11-22,11314001-1,RIO POLLUX ANTES JUNTA SIMPSON,9.24,     
1984-05-01,11315001-7,RIO CLARO EN PISICULTURA,13.1,*    
1979-10-11,11316001-2,RIO COYHAIQUE EN TEJAS VERDES,13.7,     
1969-04-16,11317001-8,RIO SIMPSON BAJO JUNTA COYHAIQUE,48.6,     
1970-01-01,11318001-3,RIO SIMPSON ANTES JUNTA RIO MAGNIGUALES,54.0,*    
1985-02-01,11332001-K,DESAGUE EN LAGO MONREAL EN DESAGUE,0.438,     
1969-07-01,11335001-6,RIO BLANCO BAJO JUNTA RIESCO,220.0,*    
1985-02-22,11335002-4,RIO BLANCO EN DESAGUE LAGO CARO,87.7,     
1998-11-01,11337001-7,RIO BLANCO ANTES JUNTA RIO AYSEN,331.0,     
1995-12-30,11342001-4,RIO AYSEN EN PUERTO AYSEN,465.0,     
1985-07-30,11405001-6,RIO LAGUNILLAS EN DESAGUE LAGO CONDOR,14.6,     
2016-01-01,11500002-0,RIO IBANEZ ANTES JUNTA CAJON,87.0,     
1985-02-25,11504001-4,RIO CLARO ANTES JUNTA RIO IBAGNEZ,11.3,     
1970-08-01,11505001-K,RIO IBAÑEZ EN DESEMBOCADURA,104.0,     
1985-02-27,11514001-9,RIO MURTA EN DESEMBOCADURA,170.0,*    
2016-05-05,11516002-8,RIO LOS LEONES EN CARRETERA AUSTRAL,18.9,*    
1995-12-18,11520002-K,RIO JEINIMENI EN CHILE CHICO,76.6,*    
1995-12-18,11521001-7,RIO EL BAGNO EN CHILE CHICO,2.08,     
2003-03-02,11530000-8,RIO BAKER EN DESAGUE LAGO BERTRAND,760.0,     
2010-03-04,11532000-9,RIO NEF ANTES JUNTA ESTERO EL REVALSE,77.5,*    
1985-06-01,11536001-9,RIO COCHRANE EN COCHRANE,10.6,     
2003-03-15,11536004-3,RIO BAKER EN ANGOSTURA CHACABUCO,941.0,     
2001-02-14,11542001-1,RIO BAKER EN COLONIA,1320.0,     
2003-03-20,11545000-K,RIO BAKER BAJO ÑADIS,1248.0,     
1970-05-25,11553001-1,RIO BAKER EN DESAGUE LAGO BERTRAND,698.0,     
1985-05-03,11701001-5,RIO MAYER EN DESEMBOCADURA,125.0,     
2003-03-29,11710000-6,RIO PASCUA EN DESAGUE LAGO O'HIGGINS,1028.0,     
2003-03-02,11711000-1,RIO PASCUA ANTE JUNTA RIO QUETRU,1139.0,     
2004-08-26,12125002-0,RIO PUNTA EVA EN PUERTO EDEN,0.565,     
2016-04-19,12271000-9,RIO TALCAHUANO EN PENINSULA ANTONIO VARAS,9.41,*    
1981-10-28,12280001-6,RIO PAINE EN PARQUE NACIONAL,25.6,*    
1985-02-26,12280002-4,RIO PAINE EN PARQUE NACIONAL 2,187.0,*    
1980-07-29,12284002-6,RIO BAGUALES EN CERRO GUIDO,1.67,     
1980-08-27,12284003-4,RIO VIZCACHAS EN CERRO GUIDO,7.35,     
1981-10-28,12284004-2,RIO LAS CHINAS EN PTE CARRETERO,39.4,     
1980-06-07,12284005-0,RIO DON GUILLERMO EN CERRO CASTILLO,0.012,     
1980-06-08,12284006-9,RIO LAS CHINAS EN CERRO GUIDO,0.165,*    
1990-03-16,12284007-7,RIO LAS CHINAS ANTES DESAGUE DEL TORO,0.303,*    
1981-11-25,12285001-3,RIO CHORRILLOS TRES PASOS RUTA N 9,0.044,     
2005-01-13,12285003-K,RIO TRES PASOS EN DESAGUE LAGO TORO,0.697,     
2010-01-29,12286002-7,RIO RINCON EN RUTA Y-290,7.06,     
1981-10-25,12287001-4,RIO GREY ANTES JUNTA SERRANO,89.0,*    
2011-07-21,12288002-8,RIO GEIKIE EN DESEMBOCADURA,23.8,*    
2011-07-19,12288003-6,RIO TINDALL EN DESEMBOCADURA,1.46,     
2009-10-17,12288004-4,RIO CAÑADON 1 EN DESEMBOCADURA,5.23,*    
1994-12-15,12289001-5,RIO SERRANO EN DESEMBOCADURA,334.0,     
1986-05-22,12289002-3,RIO SERRANO EN DESAGUE LAGO DEL TORO,47.5,     
1970-04-29,12289003-1,RIO SERRANO ANTES JUNTA GREY,79.1,     
2005-01-18,12291001-6,RIO PRAT EN DESEMBOCADURA,0.685,     
2005-12-27,12400003-3,RIO TRANQUILO EN RUTA Nº 9,0.238,*    
2007-01-30,12400004-1,RIO HOLLEMBERG EN DESEMBOCADURA,1.18,     
2018-04-19,12403001-3,RIO PRIMERO EN SENO OBSTRUCCION,6.24,*    
1981-12-11,12448001-9,RIO GRANDE EN ISLA RIESCO,17.3,     
1991-05-19,12452001-0,RIO PEREZ EN DESEMBOCADURA,2.06,     
2007-01-27,12561001-3,RIO GRANDE EN SENO OTWAY,1.24,     
2005-01-27,12563001-4,RIO CALETE EN SENO OTWAY,5.99,     
1970-05-03,12582001-8,RIO SAN JUAN EN DESEMBOCADURA,25.6,     
1982-06-08,12585001-4,RIO TRES BRAZOS ANTES BT. SENDOS,2.33,     
1982-04-20,12585002-2,RIO LEGNADURA ANTES BT SENDOS,0.061,*    
1982-06-07,12586001-K,RIO LAS MINAS EN BT. SENDOS,1.42,     
2005-01-01,12586009-5,CANAL DE TRASVASE ESTERO LLAU-LLAU,0.037,*    
1981-11-24,12600001-4,RIO RUBENS EN RUTA N 9,8.82,     
1980-06-10,12622001-4,RIO PENITENTE EN MORRO CHICO,9.09,     
2005-01-15,12660001-1,RIO CI-AIKE ANTES FRONTERA,0.086,     
1980-06-12,12802001-2,RIO SIDE EN CERRO SOMBRERO,0.985,     
1980-06-12,12805001-9,RIO OSCAR EN BAHIA SAN FELIPE,3.05,     
1980-06-12,12806001-4,RIO ORO EN BAHIA SAN FELIPE,3.5,     
2006-12-14,12820001-0,RIO CALETA EN TIERRA DEL FUEGO,0.158,     
2006-02-14,12825002-6,RIO AZOPARDO EN DESEMBOCADURA,55.0,     
2018-03-28,12825003-4,RIO BETBEDER EN DESEMBOCADURA,6.91,     
2005-01-14,12861001-4,RIO CULLEN EN FRONTERA,0.01,     
2006-04-25,12863002-3,RIO SAN MARTIN EN SAN SEBASTIAN,0.561,     
2005-01-11,12865001-6,RIO CHICO EN RUTA Y-895,2.12,     
2005-01-12,12872001-4,RIO HERMINITA EN RUTA Y-895,0.493,*    
1981-05-12,12876001-6,RIO GRANDE EN TIERRA DEL FUEGO,14.0,     
2011-12-13,12876004-0,RIO CATALINA EN PAMPA GUANACOS,0.414,     
2004-01-21,12878001-7,RIO RASMUSSEN EN FRONTERA (ESTANCIA VICUÑA),1.99,     
2004-12-02,12930001-9,RIO ROBALO EN PUERTO WILLIAMS,0.858,     
